name,type,rarity,cr_bonus,stat_requirements,stealth_penalty,cost,description,bonuses
Oversized Band Tee,Light,Common,+1,None,No,5 sp,"A shirt from a band you've definitely heard of. Probably.","+1 CR, +1 CHA (Music Conversations)"
Thrifted Blazer,Light,Common,+1,None,No,8 sp,"Slightly musty, very sustainable. Makes you look like you have meetings.","+1 CR, +1 CHA (Professional Settings)"
Lululemon Athleisure Set,Light,Uncommon,+2,DEX 12,No,2 gp,"Yoga pants and matching top. You could work out in this. You won't.","+2 CR, +1 DEX Saves"
Patagonia Fleece of Privilege,Light,Uncommon,+2,None,No,3 gp,"The official uniform of venture capitalists and trust fund hikers.","+2 CR, +2 CHA (Outdoor/Tech Contexts)"
Vintage Denim Jacket,Light,Common,+1,None,No,1 gp,"Covered in pins and patches expressing your personality.","+1 CR, +1 CHA, -1 Stealth (Jingling Pins)"
Uniqlo Basic Armor,Light,Common,+1,None,No,3 sp,"Minimalist Japanese design. Suspiciously affordable quality.","+1 CR, +1 WIS (Looking Effortless)"
Hoodie of Corporate Casual,Light,Common,+1,None,No,5 sp,"A startup hoodie with a failed company logo. Vintage now.","+1 CR, +1 INT (Tech Conversations)"
Normcore Ensemble,Light,Uncommon,+2,WIS 12,No,1 gp 5 sp,"Aggressively average clothing. You blend in everywhere.","+2 CR, +2 Stealth, Advantage on Stealth (Crowds)"
The All-Black Outfit,Light,Uncommon,+2,None,No,1 gp,"Head to toe black. Either a designer or a barista.","+2 CR, +2 Intimidation, +1 CHA (Creative Settings)"
Sustainable Hemp Clothing,Light,Common,+1,None,No,8 sp,"Itchy but ethical. You will tell everyone about it.","+1 CR, +1 WIS, +2 Persuasion (Environmental Topics)"
Convertible Travel Pants,Light,Common,+1,None,No,6 sp,"Zip-off legs for any climate. Peak digital nomad.","+1 CR, +1 DEX, Resistance to Temperature Conditions"
Merino Wool Base Layer,Light,Uncommon,+2,CON 10,No,2 gp,"Doesn't smell even after 5 days. You've tested this.","+2 CR, +2 CON Saves (Temperature), Advantage CON (Smell-based)"
Fast Fashion Chic,Light,Common,+0,None,No,2 sp,"Falls apart after 3 washes. But it was $5.","+0 CR, +2 CHA (First Impressions Only)"
Designer Streetwear,Medium,Rare,+3,CHA 14,No,15 gp,"Supreme/Off-White/Whatever's hype. Your outfit costs rent.","+3 CR, +3 CHA, +2 Intimidation (Hypebeast Contexts)"
Gorpcore Tactical Vest,Medium,Uncommon,+2,None,No,3 gp,"So many pockets. You need zero of them.","+2 CR, +2 DEX, +1 INT (Organization)"
Techwear Ensemble,Medium,Rare,+3,DEX 14,Yes (-1),8 gp,"All black, waterproof, covered in straps. Cyberpunk cosplay.","+3 CR, +2 DEX, Resistance to Water Damage, -1 Stealth"
Startup Branded Merch Armor,Light,Common,+1,None,No,Free (Exposure),"A complete outfit of free swag from failed startups.","+1 CR, +1 INT, -2 CHA (Dating Contexts)"
The Power Suit,Medium,Rare,+3,CHA 14,No,10 gp,"Tailored. Sharp. You mean business. Literally.","+3 CR, +3 CHA, +2 Intimidation, Advantage CHA (Negotiations)"
Vintage Band Jacket,Medium,Uncommon,+2,None,No,4 gp,"A leather or denim jacket covered in music history.","+2 CR, +2 CHA, +2 Performance, Advantage CHA (Music Scenes)"
Influencer Aesthetic Armor,Light,Uncommon,+2,CHA 12,No,5 gp,"Whatever's trending on Instagram this week. Rotates seasonally.","+2 CR, +2 CHA (Social Media), +1 Performance"
Cozy Cardigan of Comfort,Light,Common,+1,None,No,6 sp,"Oversized, soft, gives off approachable vibes.","+1 CR, +2 WIS, +1 CHA (Appearing Non-Threatening)"
The Podcast Host Uniform,Light,Uncommon,+2,CHA 12,No,2 gp,"Henley, nice watch, strategic stubble energy.","+2 CR, +2 CHA, +2 Persuasion (Long-form Conversations)"
Festival Battle Gear,Medium,Uncommon,+2,CON 12,No,3 gp,"Glitter, mesh, comfortable shoes. Survives 3-day events.","+2 CR, +2 CON, +1 CHA, Resistance to Exhaustion (Festivals)"
Workwear Cosplay,Medium,Uncommon,+2,STR 10,No,2 gp 5 sp,"Carhartt and Red Wings. You've never done manual labor.","+2 CR, +2 STR, +2 Intimidation (Blue Collar Contexts)"
Athleisure Armor of Productivity,Light,Uncommon,+2,DEX 12,No,3 gp,"You look like you just came from the gym. You didn't.","+2 CR, +2 DEX, +1 CON, Advantage DEX (Looking Busy)"
The Zoom Mullet,Light,Common,+1,None,No,4 sp,"Nice on top, pajamas on bottom. Work from home standard.","+1 CR, +2 CHA (Video Calls Only), -2 CHA (Standing Up)"
Old Money Aesthetic,Medium,Rare,+3,CHA 14,No,12 gp,"Quiet luxury. No logos. Screams wealth through subtlety.","+3 CR, +3 CHA, +2 Persuasion, Advantage CHA (Wealthy NPCs)"
Tropical Shirt of Confidence,Light,Common,+1,CHA 10,No,7 sp,"Bold patterns. You either have incredible taste or none.","+1 CR, +2 CHA (Vacation Settings), +1 Performance"
Cottagecore Battle Dress,Light,Uncommon,+2,WIS 12,No,2 gp,"Flowy, floral, makes you want to bake bread.","+2 CR, +2 WIS, +2 CHA (Wholesome Contexts), +1 Survival"
Dark Academia Robes,Medium,Uncommon,+2,INT 12,No,3 gp,"Tweed, turtlenecks, and an air of pretension.","+2 CR, +2 INT, +2 CHA (Academic Settings), +1 History"
Elephant Pants of the Initiate,Light,Common,+0,None,No,1 sp,"The first purchase of every backpacker in Thailand. Comfortable. Obvious.","+0 CR, +1 CON, -2 CHA (with locals), +2 CHA (with other tourists)"
Chang Singlet of Brotherhood,Light,Common,+0,None,No,50 cp,"A tank top advertising cheap Thai beer. You are now a walking billboard.","+0 CR, +2 CON Saves (alcohol), -3 CHA, Advantage CON (drinking contests)"
Full Moon Party Survivor Gear,Light,Uncommon,+1,CON 12,No,2 gp,"Neon paint, bucket stains, and UV reactive materials. Battle-tested.","+1 CR, +2 CON, Resistance to Poison, Glow in dark (Disadvantage Stealth at night)"
Fisherman Pants,Light,Common,+0,None,No,80 cp,"Wrap-style pants. Comfortable. Will make you look like you just did yoga.","+0 CR, +2 DEX, +1 WIS, -1 CHA (urban settings)"
Thai Silk Shirt of Diplomacy,Light,Uncommon,+1,CHA 12,No,5 gp,"Elegant Thai silk. Actually appropriate formal wear.","+1 CR, +3 CHA, +2 Persuasion, Advantage CHA (formal Thai settings)"
Harajuku Layers,Medium,Uncommon,+2,DEX 14,No,8 gp,"Five shirts, three skirts, two jackets. Maximum fashion. Movement restricted.","+2 CR, +3 CHA (Harajuku), +2 Performance, -1 DEX"
Shibuya Streetwear,Medium,Rare,+3,CHA 14,No,15 gp,"Avant-garde Japanese street fashion. Designer but subtle.","+3 CR, +3 CHA, +2 Intimidation (Fashion Contexts), Advantage CHA (Tokyo)"
Uniqlo Heattech Base,Light,Common,+1,None,No,2 sp,"Japanese thermal technology. Deceptively warm.","+1 CR, +2 CON Saves (Cold), Immunity to Cold Weather condition"
Muji Minimalist Ensemble,Light,Uncommon,+2,WIS 12,No,3 gp,"No labels. No logos. Maximum sophistication through simplicity.","+2 CR, +2 WIS, +1 CHA (Minimalist Settings), Advantage WIS (Aesthetic Judgment)"
Anime T-Shirt of Devotion,Light,Common,+0,None,No,1 gp,"Your waifu on your chest. Bold choice.","+0 CR, +2 CHA (Akihabara/with weebs), -2 CHA (elsewhere), +2 INT (anime knowledge)"
Kimono Rental Fit,Medium,Uncommon,+2,DEX 10,Yes (-1),3 gp rental,"Tourist kimono rental. Authentic-adjacent.","+2 CR, +2 CHA (Photos), +2 Performance, -1 Stealth (shuffling)"
Salaryman Suit,Medium,Common,+1,None,No,5 gp,"Black or navy. White shirt. The Japanese corporate uniform.","+1 CR, +2 CHA (Corporate Japan), +1 INT, -1 CHA (creative settings)"
K-Beauty Glow Armor,Light,Uncommon,+2,CHA 12,No,4 gp,"The result of a 10-step skincare routine. Glass skin achieved.","+2 CR, +3 CHA, +2 Persuasion, Advantage CHA (first impressions)"
K-Pop Fansite Uniform,Light,Common,+1,None,No,2 gp,"All black. Professional camera. Ready for airport pickups.","+1 CR, +2 DEX (Photography), +2 WIS (Idol Detection), -1 Sanity"
Hanbok (Modern),Medium,Uncommon,+2,None,No,8 gp,"Korean traditional dress. Instagram royalty.","+2 CR, +3 CHA (Photos), +2 Performance, Advantage CHA (Korean cultural contexts)"
Gangnam Plastic Perfection,Light,Rare,+3,CHA 16,No,500 gp (surgery),"Post-surgery recovery complete. Unnaturally beautiful.","+3 CR, +4 CHA, +2 Intimidation, Vulnerability to Age Detection"
Hongdae Indie Look,Light,Uncommon,+2,None,No,4 gp,"Oversized everything. Artfully disheveled. You're in a band (you're not).","+2 CR, +2 CHA (Hongdae), +2 Performance, +1 DEX"
Taiwan Night Market Chic,Light,Common,+1,None,No,1 gp,"Practical, cute, ready for street food. Layers for AC temples.","+1 CR, +1 DEX, +1 CON, +2 WIS (Food Selection)"
Taipei Tech District Style,Light,Uncommon,+2,INT 12,No,3 gp,"Clean lines, functional design, hint of cyberpunk.","+2 CR, +2 INT, +2 DEX (Tech Work), +1 CHA (Tech Settings)"
Bubble Tea Shop Employee Aesthetic,Light,Common,+1,CHA 10,No,1 gp 5 sp,"Pastel colors, apron energy, aggressively cute.","+1 CR, +2 CHA, +1 DEX, Advantage CHA (Service Interactions)"
Shanghai Expat Package Look,Medium,Uncommon,+2,CHA 12,No,10 gp,"Designer everything. Subtle but clearly expensive. Peak Jing'an.","+2 CR, +3 CHA, +2 Intimidation (Economic), Advantage CHA (Shanghai elite)"
French Concession Vintage,Light,Uncommon,+2,WIS 12,No,6 gp,"Carefully curated vintage finds. Every piece has a story you'll tell.","+2 CR, +2 CHA, +2 WIS, +1 Performance (Storytelling)"
Chinese Auntie Pajama Armor,Light,Common,+1,None,No,50 cp,"Matching silk pajamas worn in public. Maximum comfort. Zero shame.","+1 CR, +3 CON, +2 WIS (Local Knowledge), -2 CHA (Western standards)"
Taobao Mystery Box Fashion,Light,Common,+0,None,No,2 sp,"Random clothes from Taobao. Could be anything. Quality unknown.","+0 CR, Roll d6: 1-2 (-2 CHA), 3-4 (+0), 5-6 (+2 CHA)"
Fresh Off the Plane Outfit,Light,Common,+0,None,No,varies,"Whatever you wore from home. Marks you as new arrival.","+0 CR, -2 CHA (with expats), +2 CHA (with other new arrivals), Disadvantage Stealth"
REI Tactical Tourist,Medium,Uncommon,+2,None,No,8 gp,"Zip-off everything. 47 pockets. Carabiners. You're ready for anything.","+2 CR, +2 DEX, +2 STR (Carrying), +2 CON Saves, -2 CHA (Fashion)"
Dad on Vacation Starter Pack,Light,Common,+0,None,No,3 gp,"Cargo shorts, white New Balance, tucked polo. Complete.","+0 CR, +2 CON, +1 STR, -3 CHA, Advantage CON (Walking Tours)"
Gap Year Uniform,Light,Common,+1,None,No,2 gp,"Tie-dye, bracelets from 'a village,' questionable facial hair choices.","+1 CR, +1 WIS, +1 CHA (with other gap year travelers), -1 CHA (locals)"
Luxury Resort Casual,Light,Uncommon,+2,CHA 12,No,15 gp,"Linen everything. Subtle designer. Island chic.","+2 CR, +3 CHA, +2 Persuasion, Advantage CHA (Upscale Resorts)"
Motorbike Armor (Bangkok),Light,Uncommon,+2,DEX 12,No,2 gp,"Shorts, flip flops, no helmet. Standard Bangkok riding gear.","+2 CR, +2 DEX, Vulnerability to Crash Damage, +2 to Vehicle checks"

