id,name,armor_type,rarity,cr_bonus,cost_cp,weight_lb,stat_requirement_stat,stat_requirement_value,stealth_disadvantage,stealth_penalty,description,bonuses,version,tags,is_active
armor_oversized_band_tee,Oversized Band Tee,light,common,1,50,0.5,,,false,0,"A shirt from a band you've definitely heard of. Probably.","cr_bonus:+1;stat_bonus:CHA:+1:music_conversations",1.0,"clothing;casual;music",true
armor_thrifted_blazer,Thrifted Blazer,light,common,1,80,1.0,,,false,0,"Slightly musty, very sustainable. Makes you look like you have meetings.","cr_bonus:+1;stat_bonus:CHA:+1:professional_settings",1.0,"clothing;professional;sustainable",true
armor_lululemon_athleisure,Lululemon Athleisure Set,light,uncommon,2,200,0.5,DEX,12,false,0,"Yoga pants and matching top. You could work out in this. You won't.","cr_bonus:+2;save_bonus:DEX:+1",1.0,"clothing;athleisure;yoga",true
armor_patagonia_fleece,Patagonia Fleece of Privilege,light,uncommon,2,300,1.0,,,false,0,"The official uniform of venture capitalists and trust fund hikers.","cr_bonus:+2;stat_bonus:CHA:+2:outdoor_tech_contexts",1.0,"clothing;outdoor;tech;privilege",true
armor_vintage_denim_jacket,Vintage Denim Jacket,light,common,1,100,2.0,,,false,0,"Covered in pins and patches expressing your personality.","cr_bonus:+1;stat_bonus:CHA:+1;skill_bonus:Stealth:-1:jingling_pins",1.0,"clothing;vintage;punk",true
armor_uniqlo_basic,Uniqlo Basic Armor,light,common,1,30,0.5,,,false,0,"Minimalist Japanese design. Suspiciously affordable quality.","cr_bonus:+1;stat_bonus:WIS:+1:looking_effortless",1.0,"clothing;minimalist;japanese",true
armor_hoodie_corporate_casual,Hoodie of Corporate Casual,light,common,1,50,0.8,,,false,0,"A startup hoodie with a failed company logo. Vintage now.","cr_bonus:+1;stat_bonus:INT:+1:tech_conversations",1.0,"clothing;startup;tech",true
armor_normcore_ensemble,Normcore Ensemble,light,uncommon,2,150,1.0,WIS,12,false,0,"Aggressively average clothing. You blend in everywhere.","cr_bonus:+2;skill_bonus:Stealth:+2;advantage:Stealth:crowds",1.0,"clothing;stealth;urban",true
armor_all_black_outfit,The All-Black Outfit,light,uncommon,2,100,1.0,,,false,0,"Head to toe black. Either a designer or a barista.","cr_bonus:+2;skill_bonus:Intimidation:+2;stat_bonus:CHA:+1:creative_settings",1.0,"clothing;creative;intimidation",true
armor_sustainable_hemp,Sustainable Hemp Clothing,light,common,1,80,0.8,,,false,0,"Itchy but ethical. You will tell everyone about it.","cr_bonus:+1;stat_bonus:WIS:+1;skill_bonus:Persuasion:+2:environmental_topics",1.0,"clothing;sustainable;environmental",true
armor_convertible_travel_pants,Convertible Travel Pants,light,common,1,60,0.5,,,false,0,"Zip-off legs for any climate. Peak digital nomad.","cr_bonus:+1;stat_bonus:DEX:+1;resistance:temperature",1.0,"clothing;travel;practical",true
armor_merino_wool_base,Merino Wool Base Layer,light,uncommon,2,200,0.3,CON,10,false,0,"Doesn't smell even after 5 days. You've tested this.","cr_bonus:+2;save_bonus:CON:+2:temperature;advantage:CON:smell_based",1.0,"clothing;travel;temperature",true
armor_fast_fashion_chic,Fast Fashion Chic,light,common,0,20,0.5,,,false,0,"Falls apart after 3 washes. But it was $5.","cr_bonus:+0;stat_bonus:CHA:+2:first_impressions_only",1.0,"clothing;disposable;cheap",true
armor_designer_streetwear,Designer Streetwear,medium,rare,3,1500,1.5,CHA,14,false,0,"Supreme/Off-White/Whatever's hype. Your outfit costs rent.","cr_bonus:+3;stat_bonus:CHA:+3;skill_bonus:Intimidation:+2:hypebeast_contexts",1.0,"clothing;designer;streetwear;expensive",true
armor_gorpcore_tactical_vest,Gorpcore Tactical Vest,medium,uncommon,2,300,2.0,,,false,0,"So many pockets. You need zero of them.","cr_bonus:+2;stat_bonus:DEX:+2;stat_bonus:INT:+1:organization",1.0,"clothing;tactical;outdoor",true
armor_techwear_ensemble,Techwear Ensemble,medium,rare,3,800,2.5,DEX,14,true,-1,"All black, waterproof, covered in straps. Cyberpunk cosplay.","cr_bonus:+3;stat_bonus:DEX:+2;resistance:water;skill_bonus:Stealth:-1",1.0,"clothing;techwear;cyberpunk;waterproof",true
armor_startup_merch,Startup Branded Merch Armor,light,common,1,0,1.0,,,false,0,"A complete outfit of free swag from failed startups.","cr_bonus:+1;stat_bonus:INT:+1;stat_bonus:CHA:-2:dating_contexts",1.0,"clothing;startup;free;swag",true
armor_power_suit,The Power Suit,medium,rare,3,1000,3.0,CHA,14,false,0,"Tailored. Sharp. You mean business. Literally.","cr_bonus:+3;stat_bonus:CHA:+3;skill_bonus:Intimidation:+2;advantage:CHA:negotiations",1.0,"clothing;professional;power;business",true
armor_vintage_band_jacket,Vintage Band Jacket,medium,uncommon,2,400,3.0,,,false,0,"A leather or denim jacket covered in music history.","cr_bonus:+2;stat_bonus:CHA:+2;skill_bonus:Performance:+2;advantage:CHA:music_scenes",1.0,"clothing;vintage;music;leather",true
armor_influencer_aesthetic,Influencer Aesthetic Armor,light,uncommon,2,500,0.8,CHA,12,false,0,"Whatever's trending on Instagram this week. Rotates seasonally.","cr_bonus:+2;stat_bonus:CHA:+2:social_media;skill_bonus:Performance:+1",1.0,"clothing;influencer;trending;social_media",true
armor_cozy_cardigan,Cozy Cardigan of Comfort,light,common,1,60,0.8,,,false,0,"Oversized, soft, gives off approachable vibes.","cr_bonus:+1;stat_bonus:WIS:+2;stat_bonus:CHA:+1:appearing_non_threatening",1.0,"clothing;cozy;approachable",true
armor_podcast_host_uniform,The Podcast Host Uniform,light,uncommon,2,200,1.0,CHA,12,false,0,"Henley, nice watch, strategic stubble energy.","cr_bonus:+2;stat_bonus:CHA:+2;skill_bonus:Persuasion:+2:long_form_conversations",1.0,"clothing;podcast;media;professional",true
armor_festival_battle_gear,Festival Battle Gear,medium,uncommon,2,300,1.5,CON,12,false,0,"Glitter, mesh, comfortable shoes. Survives 3-day events.","cr_bonus:+2;stat_bonus:CON:+2;stat_bonus:CHA:+1;resistance:exhaustion:festivals",1.0,"clothing;festival;party;rave",true
armor_workwear_cosplay,Workwear Cosplay,medium,uncommon,2,250,3.0,STR,10,false,0,"Carhartt and Red Wings. You've never done manual labor.","cr_bonus:+2;stat_bonus:STR:+2;skill_bonus:Intimidation:+2:blue_collar_contexts",1.0,"clothing;workwear;rugged;cosplay",true
armor_athleisure_productivity,Athleisure Armor of Productivity,light,uncommon,2,300,0.8,DEX,12,false,0,"You look like you just came from the gym. You didn't.","cr_bonus:+2;stat_bonus:DEX:+2;stat_bonus:CON:+1;advantage:DEX:looking_busy",1.0,"clothing;athleisure;productivity",true
armor_zoom_mullet,The Zoom Mullet,light,common,1,40,0.5,,,false,0,"Nice on top, pajamas on bottom. Work from home standard.","cr_bonus:+1;stat_bonus:CHA:+2:video_calls_only;stat_bonus:CHA:-2:standing_up",1.0,"clothing;remote_work;wfh;pajamas",true
armor_old_money_aesthetic,Old Money Aesthetic,medium,rare,3,1200,2.0,CHA,14,false,0,"Quiet luxury. No logos. Screams wealth through subtlety.","cr_bonus:+3;stat_bonus:CHA:+3;skill_bonus:Persuasion:+2;advantage:CHA:wealthy_npcs",1.0,"clothing;luxury;wealth;subtle",true
armor_tropical_shirt,Tropical Shirt of Confidence,light,common,1,70,0.3,CHA,10,false,0,"Bold patterns. You either have incredible taste or none.","cr_bonus:+1;stat_bonus:CHA:+2:vacation_settings;skill_bonus:Performance:+1",1.0,"clothing;tropical;vacation;bold",true
armor_cottagecore_battle_dress,Cottagecore Battle Dress,light,uncommon,2,200,1.0,WIS,12,false,0,"Flowy, floral, makes you want to bake bread.","cr_bonus:+2;stat_bonus:WIS:+2;stat_bonus:CHA:+2:wholesome_contexts;skill_bonus:Survival:+1",1.0,"clothing;cottagecore;wholesome;floral",true
armor_dark_academia_robes,Dark Academia Robes,medium,uncommon,2,300,2.5,INT,12,false,0,"Tweed, turtlenecks, and an air of pretension.","cr_bonus:+2;stat_bonus:INT:+2;stat_bonus:CHA:+2:academic_settings;skill_bonus:History:+1",1.0,"clothing;academic;pretentious;tweed",true
armor_elephant_pants,Elephant Pants of the Initiate,light,common,0,10,0.3,,,false,0,"The first purchase of every backpacker in Thailand. Comfortable. Obvious.","cr_bonus:+0;stat_bonus:CON:+1;stat_bonus:CHA:-2:with_locals;stat_bonus:CHA:+2:with_tourists",1.0,"clothing;thailand;backpacker;tourist",true
armor_chang_singlet,Chang Singlet of Brotherhood,light,common,0,5,0.2,,,false,0,"A tank top advertising cheap Thai beer. You are now a walking billboard.","cr_bonus:+0;save_bonus:CON:+2:alcohol;stat_bonus:CHA:-3;advantage:CON:drinking_contests",1.0,"clothing;thailand;beer;party",true
armor_full_moon_party_gear,Full Moon Party Survivor Gear,light,uncommon,1,200,0.5,CON,12,false,0,"Neon paint, bucket stains, and UV reactive materials. Battle-tested.","cr_bonus:+1;stat_bonus:CON:+2;resistance:poison;glow_in_dark;disadvantage:Stealth:night",1.0,"clothing;thailand;party;rave;neon",true
armor_fisherman_pants,Fisherman Pants,light,common,0,8,0.3,,,false,0,"Wrap-style pants. Comfortable. Will make you look like you just did yoga.","cr_bonus:+0;stat_bonus:DEX:+2;stat_bonus:WIS:+1;stat_bonus:CHA:-1:urban_settings",1.0,"clothing;thailand;yoga;comfortable",true
armor_thai_silk_shirt,Thai Silk Shirt of Diplomacy,light,uncommon,1,500,0.3,CHA,12,false,0,"Elegant Thai silk. Actually appropriate formal wear.","cr_bonus:+1;stat_bonus:CHA:+3;skill_bonus:Persuasion:+2;advantage:CHA:formal_thai_settings",1.0,"clothing;thailand;formal;silk;elegant",true
armor_harajuku_layers,Harajuku Layers,medium,uncommon,2,800,4.0,DEX,14,false,0,"Five shirts, three skirts, two jackets. Maximum fashion. Movement restricted.","cr_bonus:+2;stat_bonus:CHA:+3:harajuku;skill_bonus:Performance:+2;stat_bonus:DEX:-1",1.0,"clothing;japan;harajuku;fashion;layered",true
armor_shibuya_streetwear,Shibuya Streetwear,medium,rare,3,1500,2.0,CHA,14,false,0,"Avant-garde Japanese street fashion. Designer but subtle.","cr_bonus:+3;stat_bonus:CHA:+3;skill_bonus:Intimidation:+2:fashion_contexts;advantage:CHA:tokyo",1.0,"clothing;japan;tokyo;shibuya;designer",true
armor_uniqlo_heattech,Uniqlo Heattech Base,light,common,1,20,0.2,,,false,0,"Japanese thermal technology. Deceptively warm.","cr_bonus:+1;save_bonus:CON:+2:cold;immunity:cold_weather",1.0,"clothing;japan;thermal;practical",true
armor_muji_minimalist,Muji Minimalist Ensemble,light,uncommon,2,300,0.8,WIS,12,false,0,"No labels. No logos. Maximum sophistication through simplicity.","cr_bonus:+2;stat_bonus:WIS:+2;stat_bonus:CHA:+1:minimalist_settings;advantage:WIS:aesthetic_judgment",1.0,"clothing;japan;minimalist;muji",true
armor_anime_tshirt,Anime T-Shirt of Devotion,light,common,0,100,0.3,,,false,0,"Your waifu on your chest. Bold choice.","cr_bonus:+0;stat_bonus:CHA:+2:akihabara_weebs;stat_bonus:CHA:-2:elsewhere;stat_bonus:INT:+2:anime_knowledge",1.0,"clothing;japan;anime;otaku",true
armor_kimono_rental,Kimono Rental Fit,medium,uncommon,2,300,3.0,DEX,10,true,-1,"Tourist kimono rental. Authentic-adjacent.","cr_bonus:+2;stat_bonus:CHA:+2:photos;skill_bonus:Performance:+2;skill_bonus:Stealth:-1:shuffling",1.0,"clothing;japan;traditional;tourist;rental",true
armor_salaryman_suit,Salaryman Suit,medium,common,1,500,3.0,,,false,0,"Black or navy. White shirt. The Japanese corporate uniform.","cr_bonus:+1;stat_bonus:CHA:+2:corporate_japan;stat_bonus:INT:+1;stat_bonus:CHA:-1:creative_settings",1.0,"clothing;japan;corporate;business",true
armor_kbeauty_glow,K-Beauty Glow Armor,light,uncommon,2,400,0.3,CHA,12,false,0,"The result of a 10-step skincare routine. Glass skin achieved.","cr_bonus:+2;stat_bonus:CHA:+3;skill_bonus:Persuasion:+2;advantage:CHA:first_impressions",1.0,"clothing;korea;beauty;skincare",true
armor_kpop_fansite_uniform,K-Pop Fansite Uniform,light,common,1,200,1.5,,,false,0,"All black. Professional camera. Ready for airport pickups.","cr_bonus:+1;skill_bonus:DEX:+2:photography;skill_bonus:WIS:+2:idol_detection;stat_bonus:Sanity:-1",1.0,"clothing;korea;kpop;fansite",true
armor_hanbok_modern,Hanbok (Modern),medium,uncommon,2,800,2.0,,,false,0,"Korean traditional dress. Instagram royalty.","cr_bonus:+2;stat_bonus:CHA:+3:photos;skill_bonus:Performance:+2;advantage:CHA:korean_cultural_contexts",1.0,"clothing;korea;traditional;hanbok;instagram",true
armor_gangnam_plastic,Gangnam Plastic Perfection,light,rare,3,50000,0.0,CHA,16,false,0,"Post-surgery recovery complete. Unnaturally beautiful.","cr_bonus:+3;stat_bonus:CHA:+4;skill_bonus:Intimidation:+2;vulnerability:age_detection",1.0,"clothing;korea;gangnam;surgery;beauty",true
armor_hongdae_indie,Hongdae Indie Look,light,uncommon,2,400,1.0,,,false,0,"Oversized everything. Artfully disheveled. You're in a band (you're not).","cr_bonus:+2;stat_bonus:CHA:+2:hongdae;skill_bonus:Performance:+2;stat_bonus:DEX:+1",1.0,"clothing;korea;hongdae;indie;music",true
armor_taiwan_night_market,Taiwan Night Market Chic,light,common,1,100,0.8,,,false,0,"Practical, cute, ready for street food. Layers for AC temples.","cr_bonus:+1;stat_bonus:DEX:+1;stat_bonus:CON:+1;skill_bonus:WIS:+2:food_selection",1.0,"clothing;taiwan;night_market;practical",true
armor_taipei_tech_district,Taipei Tech District Style,light,uncommon,2,300,0.8,INT,12,false,0,"Clean lines, functional design, hint of cyberpunk.","cr_bonus:+2;stat_bonus:INT:+2;skill_bonus:DEX:+2:tech_work;stat_bonus:CHA:+1:tech_settings",1.0,"clothing;taiwan;taipei;tech;cyberpunk",true
armor_bubble_tea_employee,Bubble Tea Shop Employee Aesthetic,light,common,1,150,0.5,CHA,10,false,0,"Pastel colors, apron energy, aggressively cute.","cr_bonus:+1;stat_bonus:CHA:+2;stat_bonus:DEX:+1;advantage:CHA:service_interactions",1.0,"clothing;taiwan;cute;service;pastel",true
armor_shanghai_expat,Shanghai Expat Package Look,medium,uncommon,2,1000,2.0,CHA,12,false,0,"Designer everything. Subtle but clearly expensive. Peak Jing'an.","cr_bonus:+2;stat_bonus:CHA:+3;skill_bonus:Intimidation:+2:economic;advantage:CHA:shanghai_elite",1.0,"clothing;china;shanghai;expat;designer",true
armor_french_concession_vintage,French Concession Vintage,light,uncommon,2,600,1.0,WIS,12,false,0,"Carefully curated vintage finds. Every piece has a story you'll tell.","cr_bonus:+2;stat_bonus:CHA:+2;stat_bonus:WIS:+2;skill_bonus:Performance:+1:storytelling",1.0,"clothing;china;shanghai;vintage;curated",true
armor_chinese_auntie_pajama,Chinese Auntie Pajama Armor,light,common,1,5,0.5,,,false,0,"Matching silk pajamas worn in public. Maximum comfort. Zero shame.","cr_bonus:+1;stat_bonus:CON:+3;skill_bonus:WIS:+2:local_knowledge;stat_bonus:CHA:-2:western_standards",1.0,"clothing;china;pajamas;comfort;local",true
armor_taobao_mystery_box,Taobao Mystery Box Fashion,light,common,0,20,0.5,,,false,0,"Random clothes from Taobao. Could be anything. Quality unknown.","cr_bonus:+0;random:d6:1-2:stat_bonus:CHA:-2:3-4:none:5-6:stat_bonus:CHA:+2",1.0,"clothing;china;taobao;random;mystery",true
armor_fresh_off_plane,Fresh Off the Plane Outfit,light,common,0,0,1.0,,,false,0,"Whatever you wore from home. Marks you as new arrival.","cr_bonus:+0;stat_bonus:CHA:-2:with_expats;stat_bonus:CHA:+2:with_new_arrivals;disadvantage:Stealth",1.0,"clothing;travel;arrival;obvious",true
armor_rei_tactical_tourist,REI Tactical Tourist,medium,uncommon,2,800,4.0,,,false,0,"Zip-off everything. 47 pockets. Carabiners. You're ready for anything.","cr_bonus:+2;stat_bonus:DEX:+2;skill_bonus:STR:+2:carrying;save_bonus:CON:+2;stat_bonus:CHA:-2:fashion",1.0,"clothing;travel;tactical;tourist;practical",true
armor_dad_vacation,Dad on Vacation Starter Pack,light,common,0,300,2.0,,,false,0,"Cargo shorts, white New Balance, tucked polo. Complete.","cr_bonus:+0;stat_bonus:CON:+2;stat_bonus:STR:+1;stat_bonus:CHA:-3;advantage:CON:walking_tours",1.0,"clothing;travel;dad;tourist;cargo",true
armor_gap_year_uniform,Gap Year Uniform,light,common,1,200,1.0,,,false,0,"Tie-dye, bracelets from 'a village,' questionable facial hair choices.","cr_bonus:+1;stat_bonus:WIS:+1;stat_bonus:CHA:+1:gap_year_travelers;stat_bonus:CHA:-1:locals",1.0,"clothing;travel;backpacker;gap_year",true
armor_luxury_resort_casual,Luxury Resort Casual,light,uncommon,2,1500,1.0,CHA,12,false,0,"Linen everything. Subtle designer. Island chic.","cr_bonus:+2;stat_bonus:CHA:+3;skill_bonus:Persuasion:+2;advantage:CHA:upscale_resorts",1.0,"clothing;luxury;resort;linen;island",true
armor_motorbike_bangkok,Motorbike Armor (Bangkok),light,uncommon,2,200,1.0,DEX,12,false,0,"Shorts, flip flops, no helmet. Standard Bangkok riding gear.","cr_bonus:+2;stat_bonus:DEX:+2;vulnerability:crash_damage;skill_bonus:Vehicle:+2",1.0,"clothing;thailand;bangkok;motorbike;dangerous",true

