name,prerequisites,description,benefits
Genetically Blessed Height,"Height > 180cm, CHA 13+","Your towering presence commands attention in every hostel common room and dating app","+4 CHA for each 10cm over 180cm; Targets have Disadvantage on WIS Saves vs your Persuasion (Dating); +2 Intimidation (Southeast Asia); CON Save DC 15 daily or lose benefits from slouching"
Clean Freak,"WIS 14+, Proficiency in Survival, Must maintain hygiene score >85","You cannot tolerate the filth of shared accommodations","+3 CON Saves vs Disease; -2 CHA (Authentic Experience Seekers); Advantage on Perception (Bed Bugs); Must spend 1hr daily on cleaning rituals or lose benefits; Auto-fail Stealth in dirty environments"
Super Well Traveled,"Visited 50+ countries, Proficiency in Survival, Speaks 3+ languages","You've been everywhere and won't let anyone forget it","+5 INT (History/Geography checks); +3 Persuasion (Travel Stories); -4 Insight (cultural assumptions); Must mention country count in every conversation or take 1d4 psychic damage"
Hot Athletic Body,"STR or DEX 16+, CON 14+, Must post gym selfies weekly","Your chiseled physique was forged in hotel gyms and beach workouts","+3 CHA (Fitness NPCs); +2 CR (unarmored); Advantage on Performance (Beach Clubs); -2 Stealth (everyone stares); Must work out 5x per week or lose 1 CON per week; Disadvantage on Persuasion (Non-Athletic NPCs)"
Dangerous Countries Veteran,"Proficiency in Survival, CON 13+, Visited 5+ high-risk destinations","You laugh at other nomads' fear of petty crime","+4 Intimidation; Immunity to Frightened; +3 Survival (Urban); -3 WIS (overconfidence); Bonus Action: War Stories (DC 14 WIS Save or target becomes Charmed or Annoyed)"
Fresh Off the Plane,"Must have arrived <30 days ago, WIS <12, Bank account >5000 GP","Everything is amazing and you have no idea what you're doing yet","+2 CHA (First Impressions); Advantage on Persuasion (Making Friends); -4 Insight (Scam Detection); -3 INT (Local Language); +2 Performance (Photography); Lose feat after 30 days or first major scam; Immunity to Exhaustion (Cynicism)"
Connoisseur of Fine Things,"CHA 14+, Proficiency in Performance, Monthly income >4000 GP","You only eat at the best spots and let everyone know","Advantage on Investigation (Quality Detection); +3 Persuasion (Upscale Establishments); -5 CHA (Budget Travelers); +2 Investigation (Hidden Gems); Must spend 500+ GP per week on dining or suffer 2d6 psychic damage; Disadvantage on CON Saves (Street Food)"
Big Bank Account,"Passive income >10000 GP/month, Proficiency in INT (Finance) or INT (Crypto)","Your wealth allows you to live above the concerns of mere mortals","+4 CHA (Capitalist Societies); Advantage on Persuasion (Money-Related); Can reroll any failed check by spending 100 GP; -6 Insight (Normal Struggles); Disadvantage on Persuasion (Low Income NPCs); Lose feat if passive income drops below threshold"
Visa Runner,"DEX 12+, Proficiency in Deception, No work permit","You've mastered the art of border hopping every 30-90 days","+5 Deception (Work Questions); Advantage on INT (Travel Planning); -2 WIS (Long-Term Planning); +3 Stealth (Cafe Working); Must leave country before visa expires or take 3d10 psychic damage; Disadvantage on Persuasion (Lasting Relationships)"
Coffee Shop Warrior,"Must own laptop >1500 GP, Proficiency in Remote Work, CON 13+","You've conquered the WiFi jungles and claimed your corner table","+2 INT (Work Checks in Cafes); Advantage on Perception (Power Outlets); -3 CHA (Cafe Staff); Immunity to social pressure to leave; +4 Perception (WiFi Speed); Must order something every 3 hours or take 1d6 psychic damage"
Digital Detox Believer,"WIS 15+, Survived 7+ day retreat, CHA 13+","You've found yourself through disconnection and healing","+3 WIS (Meditation); Advantage on WIS Saves vs Phone Addiction; -4 CON (Maintaining Detox); +5 Persuasion (Presence Preaching); Must attend wellness retreat quarterly or gain Anxious condition; Must post about digital detox on social media within 24hrs of ending (Irony Immunity)"
Crypto Bro,"INT 12+, Proficiency in Technology, Lost money at least once","Your entire personality revolves around blockchain and the future","+5 Persuasion (Crypto Explanations); Advantage on Investigation (Investment Opportunities); -6 WIS (Financial Risk); +3 Deception (Convincing Others to Invest); Action: Bore NPC (DC 16 WIS Save or target leaves); Wealth fluctuates wildly (1d100% weekly)"
Perpetual Networker,"CHA 15+, Proficiency in Performance, Attended 10+ networking events","Every interaction is an opportunity to exchange LinkedIn profiles","+4 Persuasion (Professional Settings); Advantage on CHA (Business Contacts); -3 WIS (Genuine Friendships); +2 Performance (Personal Brand); Must collect 5 business cards per week or gain FOMO condition; Cannot have casual conversation without mentioning synergy"
Yoga Instructor Certificate,"DEX 14+, WIS 13+, Completed 200hr training in Bali","You teach yoga to fund your travels and spiritual journey","+3 Acrobatics; +3 Athletics; +2 Persuasion (Spiritual Seekers); -4 CHA (Non-Yoga Topics); Advantage on finding accommodation (Work Trade); +2 CHA (Yoga Pants); Must practice daily or -2 DEX; -3 WIS (Material Concerns)"
Instagram Influencer,"CHA 16+, Proficiency in Performance, Followers >10000","Your life looks perfect through the Valencia filter","+5 Deception (Hiding Reality); Advantage on Persuasion (Free Stuff); -5 WIS (Experiencing Moments); +4 Performance; Can earn GP through sponsored posts; Must post daily or lose followers (1d100 per day); -3 WIS (Believe Own Content); Take 2d6 psychic damage per negative comment"
Minimalist (Owns MacBook Pro),"Must own <50 items valued >15000 GP total, WIS 12+","You've embraced minimalism with only the essentials: laptop, camera, designer clothes","Advantage on DEX (Packing); +2 WIS Saves; -5 Insight (Self-Awareness); +3 Persuasion (Minimalism Preaching); Must tell everyone about minimalism or take 1d8 psychic damage; Owns 'only essentials' worth more than most people's everything"
Polyglot Pretender,"INT 12+, Knows basic phrases in 8+ languages, Actual fluency in 0-1","You've collected languages like Pokemon but can't actually speak any well","+2 CHA (First Impressions Any Country); Advantage on Persuasion (Ordering Food/Beer); -4 INT (Sustained Foreign Conversations); +3 CHA (Locals Appreciate Effort); Disadvantage on INT (Complex Topics); Must practice Duolingo daily or lose streaks and gain Burnout"
NFT Profile Picture Owner,"Paid 500+ ETH for jpeg, CHA 10+, WIS 6-","You own a unique digital asset that will definitely retain value","Right-click save immunity (self-perceived); +5 Persuasion (Crypto Circles); -8 CHA (Normies); +1 Deception (Investment Pretense); Wealth: -90% (instant); Must explain NFTs to confused NPCs (exhausting); Can be Cringed at will"
Startup Founder (Between Ventures),"Failed 1+ businesses, CHA 14+, Currently unemployed","You're not unemployed, you're an entrepreneur having a strategic pause","+4 Persuasion (Pitching Ideas); Advantage on Performance (Sounding Impressive); -6 WIS (Admitting Failure); +3 Deception (Reframing Unemployment); Can pivot at any moment; -5 GP Income; +5 CHA Saves vs Embarrassment; Roll d20 at creation: on 1-5 gain Sociopathic trait"
Ayahuasca Enlightened,"CON 13+, WIS 8-, Survived plant medicine ceremony","You've seen the truth and everyone else is asleep","Advantage on Insight (Self-Perceived Only); +3 Persuasion (Spiritual Seekers); -6 CHA (Non-Enlightened Beings); +5 Performance (Rambling About Oneness); Must microdose and talk about it; -4 CHA (Normal Conversations); Grant Disadvantage to anyone tired of hearing about it"
Unix Enlightened,"INT 16+, Proficiency in Technology, Must use Arch Linux, CHA 8-","You daily drive Linux and need everyone to know Windows/Mac are for peasants","+5 INT (Technology); +3 Investigation (Debugging); Advantage on INT (Hacking/Security); -6 CHA (Insufferable); +4 INT (Programming); Must explain why your setup is superior (DC 15 WIS Save or target becomes Annoyed); Cannot help without saying 'RTFM'; -3 Persuasion (Non-Technical People)"
Nip Tuck,"CHA appears 16+, actual age 40+, Spent >50000 GP on procedures","Strategic surgical investments maintain your competitive edge in the nomad dating scene","+6 CHA (Appearance Only); +4 Deception (Age); -4 WIS (Life Decisions); Advantage on CHA (First Impressions); -3 CON (Recovery Needed); Must maintain treatments quarterly or appear +2d4 years in 1 month; Take 3d6 psychic damage if someone guesses procedures; +2 Intimidation (Uncanny Valley)"
Always High On Something,"CON 14+, Proficiency in Survival (Substance Procurement), WIS 9-","You've achieved a permanent state of altered consciousness","Advantage on INT (Creative Thinking); +4 Performance (Everything is Funny); -5 Perception; +3 Persuasion (Other Users); -6 INT (Memory Checks); Immunity to Stressed and Anxious; -4 Vibe Check (Slow Reactions); +2 Insight (Different Perspective); Must resupply every 2 days or Disadvantage on all checks"
Heavy Drinker,"CON 15+, Proficiency in CON (Alcohol), CHA 12+","You're not an alcoholic, you're just living the expat lifestyle","+5 CON Saves vs Alcohol; +4 CHA (Bars/Nightlife); Advantage on Persuasion (Drunk Friends); -3 WIS; +3 Intimidation (Drinking Contests); -2 DEX (Morning Activities); Must drink daily or become Irritable condition; Take 1d6 necrotic damage to Chill per week; +6 Persuasion (Other Drinkers); Auto-fail INT (Last Night Recall)"
Actual Polyglot,"INT 18+, Speaks 5+ languages fluently, Spent years studying","You genuinely learned languages and are surrounded by people faking it","+8 INT (Language Checks); Advantage on INT (Translation); +4 Insight (Detect Fake Polyglots); +3 CHA (Impressed Locals); -6 WIS (Patience with Duolingo Warriors); Can communicate in any situation; +5 Investigation (Understanding Documents); -2 CHA (Monolingual People); Must correct others' grammar (compulsive)"
Pretending To Be Not Remote,"Proficiency in Deception, Active work-from-home job, CHA 13+","You're definitely on vacation and those Zoom calls are just catching up with family","+6 Deception (Work Questions); Advantage on Stealth (Hiding Laptop Work); +4 Performance (Casual Tourist Act); -3 WIS (Actually Relaxing); Must maintain cover story (DC 14 Deception) or face visa consequences; +2 Stealth (Working Covertly); Take 2d8 psychic damage from living double life; -4 CHA (Forming Genuine Connections)"
Trying To Pass As Local,"CHA 14+, Proficiency in Local Language, Lived 6+ months, WIS 10-","You wear local clothes, use local slang, and insist you're basically from here now","+4 Stealth (Blending In); +3 INT (Local Language); -5 Insight (Self-Awareness); +2 Persuasion (Locals); -6 CHA (Other Expats); Advantage on Persuasion (Avoiding Tourist Prices); Disadvantage on Admitting Foreign Status; Take 2d6 psychic damage when someone speaks English to you automatically; Must constantly correct others about local culture"
Never Lost,"WIS 16+, Proficiency in Survival, DEX 13+","Your internal GPS is flawless and you refuse to acknowledge any wrong turns","+7 Survival (Navigation); Advantage on Survival (Urban); +4 Perception (Spatial Awareness); -8 CHA (Asking for Directions); Auto-succeed on finding destinations; +3 Persuasion (Leading Groups); -5 WIS (Admitting Mistakes); Can 'shortcut' but takes 2x longer; DC 18 WIS Save to admit error"
Obsessed Food & Drink Knower,"INT 14+, Proficiency in Local Cuisine, CHA 15+, Tried 100+ establishments","You've made finding the best spots your entire personality and mission","+6 Investigation (Finding Restaurants); +5 Persuasion (Recommendations); Advantage on Perception (Quality Food); +4 INT (Food Lore); -4 WIS (Eating Without Research); Must tell everyone about hidden gems; Cannot walk past a place without reviewing it; +3 CHA (Foodies); -5 CON (Enjoying Chains); Take 1d10 psychic damage if someone finds a better spot first"
Blogger Vlogger,"CHA 14+, Proficiency in Performance, Followers 1000-10000","You document everything for your 'audience' of mostly bots and your mom","+4 Performance; +3 DEX (Photography/Videography); Advantage on INT (Remembering Experiences via Footage); -6 WIS (Living in the Moment); +2 Persuasion (Building Audience); Must create content daily or gain Purposeless condition; -3 WIS (Privacy); +5 Deception (Marketing Yourself); Take 1d6 psychic damage per day of not posting; -5 Speed (Equipment Weight)"
Livestreamer,"CHA 16+, Proficiency in Technology (Streaming), Followers 5000+, CON 14+","Your life is broadcast 24/7 to the world (dozens of viewers)","+5 Performance; +6 INT (Multitasking); Advantage on INT (Documentation); +4 INT (Technology); -10 WIS (Experiencing Anything Privately); Must stream 6+ hours daily; +3 GP Income (Donations); Cannot turn off performer personality; -4 CHA (Genuine Relationships); +2 Persuasion (Practiced Speaker); Take 3d6 psychic damage from trolls; -3 WIS (Boundaries)"
Unaware Tourist,"WIS 6-, CHA 14+, Ignorance is bliss trait","You wander with pure joy, completely oblivious to scams, dangers, and social faux pas","+5 CON Saves vs Stress; Advantage on WIS Saves vs Worry; +4 CHA (Innocent Charm); -8 Insight (Detect Scams); Immunity to Cringed condition; +3 Persuasion (Non-Threatening); Auto-fail INT (Cultural Awareness); -6 WIS (Avoiding Tourist Traps); +4 Luck; Take no psychic damage from mistakes; Must overpay for everything"
Badly Dressed Foreigner,"CHA 10-, Zero fashion sense, WIS 12+, Comfort over style","Your socks-with-sandals and cargo shorts announce your origin from miles away","+4 CON (Comfort); +3 STR (Carrying Capacity via Pockets); Advantage on Stealth vs Pickpockets; -7 CHA (Fashion-Conscious Areas); +2 Intimidation (Fashion Offense); Immunity to social pressure about appearance; -5 CHA (Romantic Encounters); +4 Perception (Other Badly Dressed Foreigners); Cannot enter nice establishments; +3 CON (Practical Footwear)"
Perpetually Sick,"CON 8-, Visited 20+ countries, Immunity system broken","Your stomach hasn't been solid since 2019 and you've accepted this as life now","+5 CON (Endurance - Used To It); Advantage on CON Saves (Adapted); +4 WIS (Medicine/Self-Treatment); -6 CON (Daily Energy); +3 Survival (Can Eat Anything Now); +4 CHA (Sympathy Bonus When Sick); +2 CHA (Bonding Over Illnesses); Must rest frequently; -3 STR (Physical Activities); Immunity to Frightened (Food Poisoning); Unintended weight loss"
Scam Victim (Veteran),"WIS 8-, CHA 16+, Scammed 5+ times, Still optimistic","You've fallen for every scam but somehow keep trusting people","+6 CHA (Likeable Naivety); Advantage on Persuasion (Making Friends); +4 Persuasion (People Want to Help); -9 Insight; +5 WIS Saves vs Cynicism; -4 GP Retention; Auto-fail Insight (Detecting Cons); +3 WIS (Forgiveness); NPCs feel protective of you; -500 GP per month (Average Scam Losses); +4 CHA (Second Chances)"
Chronic Oversharer,"CHA 13+, WIS 9-, No filter, Proficiency in Performance","Within 5 minutes of meeting you, people know your trauma, finances, and medical history","+5 CHA (Fast Connections); Advantage on Persuasion (Vulnerability Bonding); +4 Persuasion (Authenticity); -7 WIS (Boundaries); +3 Performance (Storytelling); -5 CHA (Mystery/Intrigue); Auto-reveal secrets (compulsive); +6 CHA (Relating to Others); -4 CHA (Professional Reputation); Must share personal info constantly or take 1d8 psychic damage; Disadvantage on Deception (Keeping Secrets)"
Everything Was Better Back Home,"WIS 10-, CHA 10-, Constantly complaining","Every experience is worse than the equivalent in your home country","+4 INT (Critical Analysis); Advantage on Perception (Quality Issues); +3 Investigation (Finding Flaws); -8 WIS (Enjoying Anything); +2 CHA (Other Complainers); -6 CHA (Locals); Must complain about 3+ things per hour; +5 WIS (High Standards); -4 WIS (Adaptation); Immunity to FOMO; Disadvantage on WIS Saves (Gratitude); -3 CHA (Local Friends)"
Extreme Cheapskate,"WIS 13+, Proficiency in Persuasion (Haggling), Must have money but refuse to spend","You'll walk 2 hours to save 50 cents and brag about it","+6 Persuasion (Haggling); Advantage on Investigation (Deals); +4 Investigation (Cheap Options); +5 GP Savings; -7 CHA (Annoying About Prices); -3 CON (Quality of Life); +3 INT (Price Research); Must choose cheapest option always; -5 CHA (Tipping); +2 CON (Discomfort Tolerance); Cannot spend on convenience; -4 CHA (Splitting Bills); Take 1d4 psychic damage if someone got better price"
Trust Fund Kid,"Passive income >8000 GP/month from family, CHA 13+, WIS 8-, Never had real job","You're 'finding yourself' on your parents' money while calling it entrepreneurship","+5 CHA (Unearned Confidence); Advantage on WIS Saves (Risk-Taking with Safety Net); +4 Persuasion (Well-Spoken); -8 Insight (Understanding Struggle); +6 GP (Funding Passion Projects); -6 CON (Work Ethic); Immunity to Financial Consequences; +3 CHA (Polished); -9 CHA (Working Class); Can fail infinitely; Must pretend it's your money; -4 Persuasion (Discussing Success)"
Burned Out Ex-Corporate,"CON 12-, WIS 15+, Former high-stress job, Savings burning away","You quit the rat race to find yourself and are having an existential crisis about it","+5 Insight (Life Perspective); Advantage on Insight (Corporate BS); +4 WIS Saves; -6 DEX (Productivity); +3 INT (Philosophy); -5 CON (Motivation); +4 CHA (Advising Others); Must question life choices daily; -3 WIS (Structure); +6 CHA (Shared Experience Empathy); -4 CON (Rejoining Workforce); Take 2d6 psychic damage per week; +3 CON (Napping)"
Perpetual Expat (Not Tourist),"Lived abroad 5+ years total, CHA 13+, Superiority complex","You haven't lived in your home country in years and look down on tourists","+4 INT (Local Knowledge); Advantage on INT (Navigating Systems); +3 INT (Language); +5 Intimidation (Newcomers); -6 CHA (Tourists); +2 Persuasion (Experience); Must correct tourists constantly; -4 WIS (Humility); +3 WIS (Settling In); -5 WIS (Patience with Questions); +4 Investigation (Finding Housing); Cannot admit to ever being a tourist; Take 1d6 psychic damage if called tourist"
Spiritual Bypass Master,"WIS appears 16+ actual 8-, CHA 14+, Avoided therapy","You use spirituality to avoid dealing with actual problems and trauma","+5 Performance (Appearing Wise); Advantage on Persuasion (Spiritual Topics); +4 Persuasion (Sounds Deep); -8 WIS (Actual Growth); +3 WIS (Meditation); -6 WIS (Accountability); Immunity to Criticism (Good Vibes Only); +2 Persuasion (Recruiting); -7 Insight (Facing Reality); Must respond to problems with platitudes; Cannot acknowledge negative emotions; +4 CHA (Seeming Enlightened); -9 CON (Actual Healing); Disadvantage on INT (Real Solutions)"
Conspiracy Theorist Nomad,"INT 12+, WIS 6-, Proficiency in Investigation, Paranoid trait","You moved abroad because of 5G, chemtrails, or the New World Order","+4 INT (Pattern Recognition - False Patterns); Advantage on WIS Saves (Questioning Narratives); +3 Investigation (Rabbit Holes); -9 CHA (Credibility); +5 INT (Connecting Unrelated Events); -7 CHA (Social Acceptance); Must share theories (compulsive); +2 CON (Preparedness); -8 WIS (Believing Experts); +3 INT (Alternative Media); Cannot trust government/science; -6 CHA (Rational People); +5 Persuasion (Like-Minded People); Take 2d6 psychic damage when shown evidence"
Loud [Nationality Here],"CHA 13+, CON 14+, Volume permanently set to 11, Self-awareness 0","Your voice carries across continents and you're the main character everywhere","+5 Performance (Being Heard); Advantage on Intimidation (Presence Known); +4 Intimidation (Volume); -8 Stealth; +3 Performance (Natural Projection); -6 WIS (Cultural Sensitivity); Immunity to being ignored; +2 Persuasion (Confidence); -7 CHA (Blending In); Auto-fail Stealth (Subtle Situations); +4 Perception (Other Loud Nationals); Must dominate conversations; -5 CHA (Locals Seeking Peace); +3 Persuasion (Leading Groups Loudly)"
Food Poisoning Survivor,"CON 16+, Survived multiple severe cases, Stomach of questionable steel","You've seen things, gastrointestinal things, that would destroy weaker travelers","+6 CON Saves vs Disease; Advantage on CON Saves (Gut-Related); +5 Survival (Food Assessment); +4 CHA (Bonding Over Horror Stories); -3 WIS (Trusting Street Food - PTSD); +3 WIS (Medicine - Intimate Knowledge); Must share graphic details of experiences; +2 Persuasion (Warning Others); -4 CON (Eating Adventurously Now); Immunity to Mild Food Poisoning; Disadvantage on WIS Saves (Forgetting Trauma); +5 CHA (Empathy for Currently Ill)"
No Boundaries,"CHA 14+, WIS 6-, Proficiency in Performance","You think everywhere is a hostel common room and everyone wants to be friends","+6 CHA (Approaching Strangers); Advantage on Persuasion (Fast Friends); +4 Persuasion (Persistent); -8 Insight (Reading Social Cues); +5 CHA (Networking); -7 Insight (Recognizing Discomfort); Auto-fail Insight (Welcomeness); +3 Performance (Always Sharing Stories); -6 CHA (Professional Relationships); Must join every conversation; Immunity to Rejection (Don't Notice); -4 CHA (Invited to Things Again); +4 CHA (Extroversion); Disadvantage on WIS (Understanding Personal Space)"
Perpetually Jetlagged,"CON 12-, Traveled through 50+ time zones this year, Circadian rhythm destroyed","Your body has no idea what time it is and has given up trying to figure it out","+4 CON (Working Odd Hours); Advantage on CON Saves (Late-Night Activities); +3 CON (Running on Empty); -6 WIS (Schedule Consistency); +5 DEX (Flexibility); -5 CHA (Appearance - Bags Under Eyes); Immunity to Exhaustion (Jet Lag); +2 CHA (Relating to Insomniacs); -4 DEX (Morning Meetings); Must nap randomly; +3 Perception (Night Photography); -3 CON (Energy); Disadvantage on INT (Planning); +4 CON (24/7 Availability)"
Living Off Savings,"Wealth draining, No income, WIS 10-, Optimism fading","The runway is getting shorter and you're not thinking about landing yet","+4 WIS (Living in Present); Advantage on WIS Saves vs Worry (Yet); +3 CON (Enjoying Time Off); -6 INT (Financial Planning); +5 CHA (Freedom); -8 WIS (Long-Term Security); Must check bank account with dread daily; +2 CHA (Appreciating Experiences); -4 WIS (Sustainable Lifestyle); Take 1d10 psychic damage per month; +3 CHA (Adventure - Nothing to Lose); -500 GP per month; Disadvantage on INT (Future Planning); Must avoid calculating runway"
VPN Dependent,"Must have active VPN, Proficiency in Technology, Multiple subscriptions","Without your VPN you're locked out of work, banking, streaming, and your entire digital life","+5 INT (Accessing Geo-Blocked Content); Advantage on Stealth (Privacy); +4 INT (Technology); +3 INT (Bypassing Restrictions); -7 WIS When VPN Fails (Panic); Must have backup VPNs; +2 CHA (Teaching Others); -4 DEX (Simple Browsing - Latency); +6 CHA (Streaming from Home Country); Cannot function without it; -3 CHA (Video Calls - Quality); +4 INT (Digital Security); Take 4d6 psychic damage if VPN dies during work; Must troubleshoot connection issues constantly"
Serial Zoom Caller (3AM Edition),"Remote worker, Any timezone, CON 13+, Hates scheduling","You take calls at ungodly hours to overlap with home office timezone","+5 Performance (Appearing Dedicated); Advantage on GP (Earning Remotely); +4 INT (Multitasking Half-Asleep); -7 CON (Sleep Quality); +3 GP (Income Maintenance); -6 CHA (Social Life - Odd Hours); Must wake up for calls regardless; +2 CHA (Empathy from Colleagues); -4 CON (Energy During Local Day); +5 CON (Coffee Dependency); -3 CON (Health); Take 1d8 necrotic damage per call; +4 Performance (Looking Committed); Disadvantage on Persuasion (Maintaining Local Friendships)"

