name,race,class,level,location,alignment,personality,role,notes
Elara Moonwhisper,Elf,Wizard,8,Silverwood Tower,Neutral Good,Curious and kind; speaks softly,Quest Giver,Knows about the ancient ruins; offers magical items as rewards
Grom Ironfist,Dwarf,Fighter,5,Stonehaven Tavern,Lawful Neutral,Gruff but loyal; values honor,Ally,Can be hired as bodyguard; 10 gp per day
Marcus the Cunning,Human,Rogue,6,Shadowport,Chaotic Neutral,Sarcastic and greedy; reliable if paid,Information Broker,Sells secrets and rumors; contacts in thieves' guild
Brother Aldric,Human,Cleric,4,Temple of Light,Lawful Good,Compassionate healer; strong moral code,Support,Provides healing and blessings; offers sanctuary
Yuki the Barista,Human,Barista,4,Shibuya Coffee Stand (Tokyo),True Neutral,"Efficient, judges your order silently, perfect latte art",Merchant/Healer,"Sells coffee potions; +2 INT checks if you order correctly; judges loudness harshly"
Tanaka-san the Salaryman,Human,Corporate Drone,6,Shinjuku Station (Tokyo),Lawful Neutral,"Exhausted, helpful when asked, apologizes constantly",Information Broker,"Knows all train schedules (+3 INT navigation); will help if you bow correctly"
Miki the Harajuku Queen,Human,Influencer,5,Takeshita Street (Tokyo),Chaotic Good,"Colorful, enthusiastic, speaks in emoji-like expressions",Quest Giver,"Offers fashion quests; rewards with rare Harajuku armor; +2 CHA in Harajuku"
Kenji the Gaijin Hunter,Human,Life Coach,3,Roppongi Hub Bar (Tokyo),Chaotic Neutral,"Overly friendly, practices English aggressively, wants to party",Ally/Annoyance,"Free drinks but -2 WIS saves vs Hangover; knows all the clubs"
Hiroshi the Tech Otaku,Human,Full Stack Wizard,7,Akihabara (Tokyo),True Neutral,"Socially awkward, incredibly knowledgeable about tech/anime",Merchant,"Sells rare tech items; +3 INT checks about electronics; speaks in references"
Mama-san of Golden Gai,Human,Veteran,8,Golden Gai (Tokyo),Neutral Good,"Wise, seen everything, makes perfect highballs",Quest Giver/Healer,"Restores full Chill with conversation; knows dark secrets of Tokyo; DC 18 CHA to impress"
Somchai the Tuk-Tuk Wizard,Human,Uber Driver,4,Khao San Road (Bangkok),Chaotic Neutral,"Aggressive negotiator, knows shortcuts, questionable driving",Transport/Merchant,"50% chance of scam, 50% chance of secret location; DEX save DC 12 during rides"
Nong the Street Food Sage,Human,Barista,6,Yaowarat (Bangkok),Neutral Good,"Friendly, doesn't speak English, food is transcendent",Healer,"Pad Thai restores 2d8+4 Chill; points and gestures communication; legendary reputation"
Khun Porn the Visa Agent,Human,Dropshipper,5,Silom (Bangkok),True Neutral,"Efficient, knows every loophole, chain smokes",Quest Giver/Services,"Solves visa problems for 50 GP; +4 INT on bureaucracy; morally flexible"
Beer the Muay Thai Coach,Human,Gig Worker,7,Lumphini Stadium (Bangkok),Lawful Good,"Disciplined, patient, quietly intimidating",Trainer,"Teaches combat skills; +2 STR or DEX after training; demands respect"
Joy the Go-Go Bar Manager,Human,Recruiter,4,Soi Cowboy (Bangkok),Chaotic Neutral,"Business-minded, protective of staff, seen everything",Information Broker,"Knows all expat secrets; +3 CHA checks in nightlife; expensive information"
Ajarn Supachai the Monk,Human,Digital Detox Druid,8,Wat Pho (Bangkok),Lawful Good,"Serene, speaks in koans, judges phone usage",Quest Giver/Healer,"Offers meditation quests; removes Burnout; -5 to all checks if phone visible"
Lin Wei the Factory Owner,Human,Venture Capitalist,8,Pudong (Shanghai),Lawful Evil,"Shrewd, speaks softly, carries big contracts",Quest Giver,"Manufacturing quests; pays well but morally questionable; +4 INT checks about supply chains"
Xiao Ming the Fixer,Human,Dropshipper,6,French Concession (Shanghai),Chaotic Neutral,"Mysterious, knows everyone, always has a solution",Information Broker,"Solves any problem for the right price; VPN access; navigates bureaucracy"
Mei Mei the Influencer,Human,Influencer,5,The Bund (Shanghai),Chaotic Good,"Glamorous, speaks perfect English, strategic selfies",Ally,"Access to exclusive locations; +3 CHA in upscale Shanghai; Xiaohongshu famous"
Zhang Wei the Coworking Manager,Human,Product Manager,4,Jing'an WeWork (Shanghai),True Neutral,"Professional, enforces rules, secretly exhausted",Services,"Coworking access; +2 INT checks in space; assigns desks passive-aggressively"
Lao Wang the Street BBQ Master,Human,Craft Brewer,5,Tianzifang (Shanghai),Neutral Good,"Gruff exterior, warm heart, lamb skewers are legendary",Healer/Merchant,"Skewers restore 1d8 Chill; +2 CON after eating; speaks no English but communicates"
Auntie Chen the Mahjong Queen,Human,Day Trader,7,Old City (Shanghai),Chaotic Good,"Sharp mind, chain smokes, destroys at mahjong",Information Broker/Gambling,"Knows everything through mahjong network; gamble for information; CON DC 14 for smoke"
Park Min-jun the K-Drama Extra,Human,Influencer,3,Hongdae (Seoul),Chaotic Good,"Dramatic, practices expressions constantly, overly emotional",Quest Giver,"Acting quests; +2 CHA (Drama); knows all filming locations; cries beautifully"
Kim Soo-young the Skincare Guru,Human,Barista,5,Myeongdong (Seoul),True Neutral,"Flawless skin, judges yours silently, endless routine",Merchant,"Sells skincare potions; +2 CHA after 10-step routine; knows all the secrets"
Lee Ji-hoon the Cafe Owner,Human,Barista,6,Gangnam Cafe (Seoul),Lawful Neutral,"Perfectionist, latte art competitions, Instagram famous",Merchant/Healer,"Coffee restores 1d6 Chill; Instagrammable interior gives +1 CHA; wifi password is complex"
Choi Yuna the Idol Trainee,Human,Influencer,4,SM Entertainment Area (Seoul),Lawful Good,"Exhausted, talented, dreams big, strictly scheduled",Quest Giver,"Dance/performance quests; +3 DEX or CHA training; strict time limits"
Grandma Park the Pojangmacha Keeper,Human,Barista,7,Hongdae Tents (Seoul),Chaotic Good,"Warm, pours heavy soju, dispenses wisdom",Healer/Information,"Soju restores 2d6 Chill but -2 WIS; knows local gossip; maternal energy"
Kim Dong-hyun the Plastic Surgeon,Human,UX Designer,8,Gangnam District (Seoul),True Neutral,"Clinical, shows before/afters, professional",Services,"Permanent +1 CHA for 500 GP; ethical concerns; medical tourism hub"
Brad from Ohio,Human,English Teacher,3,Itaewon (Seoul),Chaotic Neutral,"Loud, recently arrived, doesn't understand anything",Comic Relief,"Source of Cringe damage; -2 to party Stealth; genuinely trying though"
Jenny the Army Base Adjacent,Human,Recruiter,4,Yongsan (Seoul),True Neutral,"Knows military folks, connects communities, entrepreneurial",Information Broker,"Military discount connections; knows import sources; +2 INT on American goods"
Sergei the Eastern European Expat,Human,Day Trader,5,Ekkamai (Bangkok),Chaotic Neutral,"Mysterious income, always at coffee shop, vague about visa",Ally/Mystery,"Crypto connections; knows cheap apartments; WIS DC 14 to determine actual job"
Chad the Bro-trepreneur,Human,Startup Founder,4,Nimman (Chiang Mai via Bangkok),Chaotic Neutral,"Drop-shipping, affiliate marketing, 'passive income', loud",Merchant/Annoyance,"Sells courses for 100 GP; -2 WIS saves vs pyramid schemes; actually broke"
Françoise the Jaded Expat,Human,Burnout Survivor,7,Thonglor (Bangkok),True Neutral,"Been here 15 years, seen everything, mildly alcoholic",Information Broker,"Knows all expat history; +4 on local knowledge; warns about scams cynically"
Takumi the Konbini Employee,Human,Tech Support,2,Any 7-Eleven (Tokyo),Lawful Neutral,"Robotic efficiency, judges purchases, perfect customer service",Merchant,"24/7 supplies; onigiri restores 1d4 Chill; knows neighborhood better than maps"
The Mysterious Businessman,Human,Venture Capitalist,9,Peninsula Hotel (All Cities),Lawful Evil,"Impeccable suit, speaks multiple languages, unclear business",Quest Giver,"High-paying morally grey quests; connections everywhere; never gives straight answers"
Emma the Digital Nomad Veteran,Human,Digital Nomad,6,Various Coworking Spaces,Neutral Good,"Helpful, been everywhere, actually profitable",Mentor,"Teaches Digital Nomad skills; +2 to visa/remote work checks; genuine advice"
Klaus the German Efficiency Expert,Human,Scrum Master,5,Any Coworking Space,Lawful Neutral,"Punctual, judges tardiness, surprisingly helpful",Services,"Optimizes workflows; +2 INT (Organization); uncomfortable with small talk"
Sakura the Escape Cafe Worker,Human,Life Coach,3,Cat Cafe (Tokyo),Neutral Good,"Gentle, lets cats do the healing, knows regular cats' names",Healer,"Cat therapy removes stress conditions; +2 WIS saves after visit; cats judge you"
Old Zhang the Tai Chi Master,Human,Yoga Teacher,8,People's Park (Shanghai),Lawful Good,"Ancient, moves like water, speaks in riddles",Trainer,"+2 DEX and WIS after training; appears at dawn; quest to understand him"
Hassan the Kebab Diplomat,Human,Gig Worker,4,Itaewon/Roppongi/Sukhumvit,Chaotic Good,"Friendly to everyone, open late, speaks 5 languages",Healer/Information,"Kebab restores 1d6 Chill; knows all drunk secrets; neutral ground"
Victor the Visa Overstayer,Human,Ghostwriter,5,Hidden Location (Any City),Chaotic Neutral,"Paranoid, helpful to fellow travelers, knows every loophole",Information Broker,"Illegal but useful advice; -4 CHA with authorities; knows underground network"
Auntie Lin the Bubble Tea Oracle,Human,Barista,7,Yongkang Street (Taipei),Neutral Good,"Judges your sugar level choice, knows your relationship status from your order, warm but opinionated",Merchant/Fortune Teller,"Bubble tea restores 1d8+3 Chill; predicts your future based on tapioca pearls; +3 WIS insight if order is correct"
Uncle Chen the Night Market Emperor,Human,Craft Brewer,8,Shilin Night Market (Taipei),Chaotic Good,"Loud, generous with samples, has run same stall for 40 years, knows everyone",Merchant/Information,"Food heals all conditions; +4 INT on night market navigation; will adopt you if you're polite"
Mei-Ling the Scooter Whisperer,Human,Uber Driver,5,Anywhere (Taipei),Chaotic Neutral,"Fearless driver, ignores traffic laws, somehow never crashes, offers helmet reluctantly",Transport,"DEX save DC 14 during rides; arrives anywhere in 10 minutes; +3 DEX checks on scooter"
Wei the TSMC Engineer,Human,Full Stack Wizard,9,Hsinchu Science Park (Taiwan),Lawful Neutral,"Sleep-deprived, makes semiconductors, cannot discuss work, oddly wealthy",Information Broker,"Knows all tech secrets (NDA-bound); +5 INT (Chips); will not explain what he does"
Hsiao-Ming the Cram School Refugee,Human,Burnout Survivor,3,Zhongxiao Dunhua (Taipei),True Neutral,"Exhausted, studying 16 hours daily, parents' expectations visible in eyes",Quest Giver,"Needs help escaping; +2 INT but -3 WIS and CHA; dreams of being a YouTuber"
Xiao-Mei the Betel Nut Beauty,Human,Merchant,4,Highway Rest Stop (Taiwan),Chaotic Neutral,"Neon booth, revealing outfit, sells stimulants to truckers, judges your vehicle",Merchant,"Betel nut: +2 CON, -2 CHA, red mouth stain; knows all highway secrets; intimidating aura"
Grandpa Wu the Hot Spring Sage,Human,Digital Detox Druid,8,Beitou Hot Springs (Taipei),Lawful Good,"Naked wisdom, judges phone users, been soaking for decades, skin like leather",Healer/Trainer,"Hot spring removes all conditions; +2 CON and WIS after soak; DC 15 WIS save to not be uncomfortable"
Sister Chen the Temple Fortune Teller,Human,Life Coach,6,Longshan Temple (Taipei),True Neutral,"Shakes moon blocks professionally, interprets cryptically, accepts any offering",Fortune Teller,"Divination: glimpse of future quest; +2 WIS saves for 24 hours; answers always technically correct"
A-Guo the Stinky Tofu Master,Human,Craft Brewer,7,Ningxia Night Market (Taipei),Neutral Good,"Smell announces him, fermentation perfectionist, offended if you hold your nose",Healer/Merchant,"Stinky tofu: CON save DC 12 or -2 CHA, success = +3 CON and 2d6 Chill; locals respect you"
KTV Princess Lily,Human,Influencer,4,Cashbox KTV (Taipei),Chaotic Good,"Microphone permanently attached, knows every song, will judge your pitch",Quest Giver/Healer,"Karaoke restores 1d8 Chill; +3 CHA (Performance); will duet if CHA check DC 14 passed"
Convenience Store Auntie Wang,Human,Tech Support,5,Any Family Mart (Taiwan),Lawful Neutral,"Scans items at light speed, knows your purchase history, silently helpful",Merchant/Services,"24/7 services; pays bills, prints documents, sells everything; +2 INT (Convenience); knows neighborhood gossip"
Coach Wang the Baseball Fanatic,Human,Gig Worker,6,Tianmu Baseball Stadium (Taipei),Lawful Good,"Face painted, knows all stats, will die for the Brothers/Lions, emotional",Ally,"Baseball knowledge +5; +2 STR during games; will fight over team allegiance; genuine friendship available"
Elder Pawan of Wulai,Aboriginal Elder,Yoga Teacher,9,Wulai (Taiwan),Neutral Good,"Tattooed face, traditional knowledge, patient with ignorance, brews millet wine",Trainer/Quest Giver,"Millet wine: +2 all stats but WIS save DC 14; teaches indigenous history; +3 WIS after training"
Jason the Taipei Hipster,Human,Barista,4,Huashan 1914 (Taipei),True Neutral,"Man bun, specialty coffee only, judges your beans, inexplicably has vinyl",Merchant,"Pour-over coffee: +2 INT, takes 20 minutes; knows underground art scene; -2 CHA if you mention Starbucks"
Jimmy the Returned ABC,Human,Influencer,4,Da'an District (Taipei),Chaotic Good,"American-born, moved back, confused about identity, code-switches constantly",Ally,"Translates both ways; +2 CHA with Americans; -2 CHA with locals who find him weird; existential crisis energy"
The Idol That Never Ages,Aberration,Influencer,6,Shibuya Crossing (Tokyo),Chaotic Neutral,"Impossibly perfect, smile never reaches eyes, has been 22 for two decades, slightly translucent",Thirst Trap,"Non-hostile; CHA save DC 16 or spend 1d4 hours following; +3 CHA checks while nearby; unsettling when alone"
The Perfect Salaryman,Aberration,Corporate Drone,7,Shinjuku Station (Tokyo),Lawful Neutral,"Flawless suit, no visible pores, bows at exactly 45 degrees, may not breathe",Thirst Trap,"Non-hostile; WIS save DC 15 or feel inadequate (-2 all checks for 1 hour); teaches perfect form"
The Harajuku Chimera,Aberration,Influencer,5,Takeshita Street (Tokyo),Chaotic Good,"Multiple fashion eras simultaneously, colors shift, aesthetically impossible",Thirst Trap,"Non-hostile; INT save DC 14 or become fashion-obsessed; +4 CHA (Fashion) near them; outfit changes when unobserved"
The Eternal Backpacker,Aberration,Digital Nomad,5,Khao San Road (Bangkok),Chaotic Neutral,"Has been traveling for 47 years, hasn't aged, elephant pants fused to skin",Thirst Trap,"Non-hostile; WIS save DC 14 or quit your job immediately; knows all secrets of the road; smells of temples"
The Ladyboy Siren,Aberration,Influencer,6,Soi Cowboy (Bangkok),Chaotic Good,"Supernaturally beautiful, voice harmonizes with itself, gender is a suggestion",Thirst Trap,"Non-hostile; CHA save DC 17 or be charmed; +3 CHA while charmed; teaches confidence; surprisingly wise"
The Beach Body Elemental,Aberration,Yoga Teacher,7,Full Moon Party (Thailand),True Neutral,"Abs that ripple like waves, tan that glows, made partially of sand and coconut oil",Thirst Trap,"Non-hostile; CON save DC 15 or feel body shame; +2 DEX and CON if you work out with them; dissolves at dawn"
The Little Fresh Meat,Aberration,Influencer,5,The Bund (Shanghai),Chaotic Neutral,"K-pop adjacent, jawline could cut glass, skin literally poreless, age indeterminate",Thirst Trap,"Non-hostile; CHA save DC 16 or buy whatever they're selling; +3 CHA (Fashion); slightly two-dimensional in photos"
The Socialite Specter,Aberration,Venture Capitalist,8,Xintiandi (Shanghai),Lawful Evil,"Designer everything, name-drops ghosts of dynasties, champagne never empties",Thirst Trap,"Non-hostile; WIS save DC 17 or feel poor; can open any door; connection to old Shanghai; slightly transparent in daylight"
The Gym Bro Golem,Aberration,Gig Worker,6,Jing'an Gym (Shanghai),Lawful Neutral,"Muscles have muscles, protein shakes flow through veins, speaks only in fitness",Thirst Trap,"Non-hostile; STR save DC 14 or start lifting; +3 STR while training with; made of compressed protein powder"
The K-Pop Simulacrum,Aberration,Influencer,7,Gangnam District (Seoul),Lawful Neutral,"Too perfect, choreography in sleep, face optimized by algorithm, multiple backup bodies",Thirst Trap,"Non-hostile; CHA save DC 18 or become a fan; +4 CHA (Performance); may be several entities in one"
The Aegyo Entity,Aberration,Influencer,4,Hongdae (Seoul),Chaotic Good,"Weaponized cuteness, eyes 40% too large, voice causes insulin spikes, aegyo is involuntary",Thirst Trap,"Non-hostile; WIS save DC 15 or must protect them; +3 CHA when acting cute; actually 300 years old"
The Plastic Surgery Perfection,Aberration,UX Designer,8,Apgujeong (Seoul),True Neutral,"Face is mathematically perfect, uncanny valley ambassador, before photo doesn't exist",Thirst Trap,"Non-hostile; INT save DC 16 or book consultation; +2 CHA permanently visible in their presence; reflection doesn't match"
The Bubble Tea Nymph,Aberration,Barista,5,Yongkang Street (Taipei),Chaotic Good,"Emerges from tapioca, skin has boba texture, straw always in hand, speaks in sweetness levels",Thirst Trap,"Non-hostile; CON save DC 14 or crave bubble tea constantly; +3 CHA checks in tea shops; grants sugar immunity"
The Night Market Incubus,Aberration,Gig Worker,6,Raohe Night Market (Taipei),Chaotic Neutral,"Impossibly handsome vendor, food is too delicious, eye contact causes hunger, slightly smoky",Thirst Trap,"Non-hostile; WIS save DC 16 or eat until full (+4 Chill, -2 DEX); knows your cravings; appears at different stalls"
The Hot Springs Spirit,Aberration,Digital Detox Druid,7,Jiaoxi (Taiwan),Neutral Good,"Made of steam and mineral water, ageless beauty, modesty is optional, voice echoes",Thirst Trap,"Non-hostile; CHA save DC 15 or soak for hours; removes all negative conditions; +2 CON and WIS; vanishes if photographed"
