name,level,school,casting_time,range,components,duration,description
Summon Uber Eats,1,Conjuration,1 action,30 feet,V S M (Credit Card),Instantaneous,"Summons a meal of your choice. Restores 1d8+4 Chill."
Dispel Haters,3,Abjuration,1 action,120 feet,V S,Instantaneous,"Ends one active 'Cancelled' or 'Shadowbanned' condition on a target."
Power Word: Cringe,9,Enchantment,1 action,60 feet,V,Instantaneous,"You utter a word of pure cringe. Target with <50 Chill is instantly Triggered."
Zone of Truth (Fact Check),2,Divination,1 action,60 feet,V S,10 minutes,"Creates a zone where lies are immediately debunked by a floating notification."
Mass Unfollow,5,Necromancy,1 action,Self,V S,Instantaneous,"All enemies within 30 feet take 4d6 Reputation damage and are Stunned."
Debug Reality,3,Transmutation,1 action,Touch,V S M (Rubber Duck),Instantaneous,"Fixes a glitch in the matrix (reroll one d20)."
Meeting That Could Have Been An Email,2,Enchantment,1 minute,Self,V,Concentration,"Paralyzes all targets in 30ft radius with boredom (Wis save)."
Cloud Storage,4,Conjuration,1 action,Touch,S,1 hour,"Stores an object in the cloud. Retrieve it later."
Filter of Beauty,1,Illusion,1 bonus action,Self,S,1 hour,"+5 to Charisma checks involving appearance."
DDoS Attack,5,Evocation,1 action,120 feet,V S,Instantaneous,"Overwhelms target's mind with 10d6 psychic damage."
Mute Notification,2,Abjuration,1 reaction,Self,S,1 round,"Immunity to Sonic damage and verbal attacks."
Block User,4,Abjuration,1 action,60 feet,V S,1 minute,"Target is banished to a harmless demiplane (The Block List)."
Screenshot,3,Divination,1 reaction,60 feet,S,Instantaneous,"Captures an event perfectly. Can be used as evidence (Advantage on next Intimidation)."
Auto-Correct,1,Transmutation,1 reaction,60 feet,V,Instantaneous,"Changes one word in a target's speech, altering the meaning."
Copy Paste,6,Necromancy,1 action,Touch,V S M (Ctrl+C),Instantaneous,"Creates a perfect clone of a creature for 1 hour."
Incognito Mode,2,Illusion,1 action,Self,S,1 hour,"You become invisible to digital surveillance and scrying."
Two-Factor Auth,3,Abjuration,1 action,Touch,V S,8 hours,"Target object or door cannot be opened without a code sent to your device."
Password Reset,2,Transmutation,1 action,Touch,V,Instantaneous,"Unlocks any digital or physical lock."
System Update,3,Enchantment,1 action,20 feet,V S,1 minute,"Targets fall asleep while 'updating'."
Blue Screen of Death,9,Necromancy,1 action,60 feet,V S,Instantaneous,"Target drops to 0 Chill immediately."
Viral Tweet,5,Enchantment,1 action,Self,V S,24 hours,"Your next statement reaches 1000x more people."
Ratio,3,Abjuration,1 reaction,60 feet,V,Instantaneous,"Counterspell. If successful, the caster takes psychic damage."
Clickbait,1,Enchantment,1 action,30 feet,V,1 round,"Target must move towards you and investigate."
Deepfake,2,Illusion,1 action,Self,V S,1 hour,"You assume the appearance and voice of another person perfectly."
Dox,4,Divination,1 minute,Unlimited,V S,Instantaneous,"Learn the true name and location of one creature."
Shadowban,4,Illusion,1 action,60 feet,S,1 minute,"Target is invisible and inaudible to everyone else."
Echo Chamber,3,Evocation,1 action,Self,V S,8 hours,"Creates a dome where everyone agrees with you."
Safe Space,1,Abjuration,1 action,Touch,V S,10 minutes,"Warded creature cannot be attacked or triggered."
Trigger Warning,1,Abjuration,1 minute,30 feet,V S,8 hours,"Alerts you when a specific topic is mentioned."
Gaslight,5,Enchantment,1 action,30 feet,V,Concentration,"Target believes a false memory of your choice."
Love Bomb,4,Enchantment,1 action,30 feet,V S,1 hour,"Target is Charmed and obsessed with you."
Ghost,7,Transmutation,1 action,Self,S,8 hours,"You become Ethereal and can move through objects."
Breadcrumb,2,Divination,1 action,Self,V S,Concentration,"Locate object or creature you have previously interacted with."
Catfish,2,Illusion,1 action,Self,S,1 hour,"Alter Self, but you look significantly better."
Swipe Left,2,Abjuration,1 action,Touch,S,Instantaneous,"Push a creature 10 feet away."
Swipe Right,2,Conjuration,1 action,30 feet,S,Instantaneous,"Pull a creature 10 feet towards you."
Super Like,5,Enchantment,1 action,60 feet,S,1 minute,"Dominate Person."
Unsubscribe,3,Abjuration,1 action,Touch,V,Instantaneous,"Dispel Magic."
Terms of Service,1,Enchantment,1 action,60 feet,V,1 round,"Command (Halt, Drop, Agree)."
Paywall,5,Evocation,1 action,60 feet,V S,10 minutes,"Wall of Force. Can be bypassed by paying gold."
Pretend to Be Deaf,1,Illusion,1 reaction,Self,S,1 minute,"You convincingly appear unable to hear or understand what's being said. +5 to CHA saves vs unwanted conversations. The seller moves on."
Sudden Phone Call,1,Illusion,1 bonus action,Self,V S,1 minute,"Your phone 'rings' at the perfect moment. Escape any conversation without social consequences. CHA-based deception automatically succeeds vs DC 12."
I Don't Speak English,2,Illusion,1 action,Self,V,10 minutes,"You convincingly pretend not to understand English. Advantage on all saves vs conversation. Locals may switch to another language you also don't speak."
Visible Headphones,1,Abjuration,1 bonus action,Self,S,1 hour,"Conjure obviously visible headphones. +3 CR vs verbal approaches. Some creatures immune (vendors, drunk tourists)."
The Nod and Smile,Cantrip,Enchantment,1 action,Self,S,Instantaneous,"Pretend to understand what someone is saying. CHA check DC 10 or they realize you have no idea."
Aggressive Friendliness,2,Enchantment,1 action,30 feet,V S,1 minute,"Target must make WIS save or feel obligated to help you. On success, they're annoyed (-2 to future CHA checks with them)."
Where Are You From,1,Divination,1 action,30 feet,V,Instantaneous,"Compel target to reveal their country of origin. They must answer truthfully. If you share nationality, +2 CHA with them for 1 hour. They can then ask you the same question."
How Long Have You Been Here,1,Divination,1 action,30 feet,V,Instantaneous,"Force target to reveal length of time in current location. If you've been here longer, +2 Intimidation vs them (you're more local). If they've been here longer, +2 Insight vs them (learn their tricks)."
What Do You Do Here,2,Divination,1 action,30 feet,V,Instantaneous,"Compel target to explain their job/visa status. WIS save or they must answer. Learn their profession: +2 to CHA checks when discussing their field, or Advantage on Deception if pretending to share their job."
Back Home We Do It Differently,2,Enchantment,1 action,30 feet,V,1 round,"Deal 1d8 + CHA psychic damage to locals. They must make WIS save or feel inadequate about their own culture."
Actually The Local Way Is Better,3,Abjuration,1 reaction,Self,V,Instantaneous,"Counter 'Back Home We Do It Differently'. Reflect psychic damage back to caster. +2 CHA with locals who witness."
So What Do You Do,1,Divination,1 action,30 feet,V,Instantaneous,"The most boring spell in existence. Compel target to describe their job. They lose 1 Chill from explaining 'content strategy' again. You gain +2 to future CHA checks vs them (you now know their insecurities)."
How Do You Know The Host,1,Divination,1 action,30 feet,V,Instantaneous,"Force target to explain their connection to the party organizer. If their connection is stronger than yours, +2 Persuasion with them (useful contact). If weaker, they take 1d4 psychic damage and you gain +2 Intimidation vs them."
Have You Tried The Food Yet,Cantrip,Divination,1 action,30 feet,V,Instantaneous,"Fill dead air by asking about catering. Target must answer. +1 CHA with target for 10 minutes (you're making an effort). Can be cast unlimited times but bonus doesn't stack."
Seen Any Good Movies Lately,1,Divination,1 action,30 feet,V,Instantaneous,"Desperately search for common ground. Target reveals recent media consumption. Roll d20: on 15+, you've seen it too and gain +3 CHA with them for 1 hour. On 1-14, nod and pretend."
What Are Your Plans For The Weekend,1,Divination,1 action,30 feet,V,Instantaneous,"Ask the safest possible question. Target must describe upcoming plans. Gain Advantage on next Persuasion check to invite yourself along. If they have no plans, they take 1d4 psychic damage."
Have You Been Anywhere Nice Lately,1,Divination,1 action,30 feet,V,Instantaneous,"Prompt target to discuss travel. Gain +2 INT (Geography) from their stories for 1 hour. If they haven't traveled recently, they take 1d6 reputation damage from seeming uninteresting."
So Do You Come Here Often,1,Divination,1 action,30 feet,V,Instantaneous,"The oldest and worst divination spell. Target reveals venue familiarity. Caster takes 1d4 psychic damage from cringe. However, if target IS a regular, gain +3 to all CHA checks with them for 1 hour (they love talking about their spot)."
What's Your Star Sign,1,Divination,1 action,30 feet,V,Instantaneous,"Demand astrological data. Target must answer. WIS check DC 12: on success, cold-read their personality for +2 to all CHA checks vs them for 24 hours. On fail, you say something wildly wrong and they get +2 CHA vs you."
Have You Been Keeping Busy,1,Divination,1 action,30 feet,V,Instantaneous,"Ask a question that means nothing. Target must provide a vague affirmative answer. Graceful conversation exit: end the interaction without social penalty. +1 WIS (self-preservation) for escaping small talk."
Working On Anything Exciting,1,Divination,1 action,30 feet,V,Instantaneous,"Force target to pitch their side hustle. 30% crypto, 30% podcast, 40% NFTs. Gain +2 INT checks related to their project for 24 hours. If you invest (any amount), 90% chance you lose it, 10% chance it 10x."
Are You On Instagram,1,Divination,1 action,30 feet,V,Instantaneous,"Exchange social handles instead of having a real conversation. Gain one Contact (creature type: Acquaintance). +2 to Gather Information checks in their area of expertise. You will never speak in person again."
Humble Brag Beam,2,Evocation,1 action,30 feet,V,Instantaneous,"Deal 2d6 + CHA psychic damage by mentioning your achievements while pretending to complain. 'Ugh, my third trip to Bali this year is so exhausting.'"
Unsolicited Advice,1,Enchantment,1 action,30 feet,V,1 minute,"Force target to listen to your advice. WIS save or they must stay and listen for full duration. On save, they leave but remember your 'wisdom.'"
Crypto Explanation,3,Enchantment,1 action,30 feet,V,Concentration,"Target is paralyzed as you explain blockchain. WIS save each round to escape. On 3 failed saves, target is Confused."
My Visa Guy Can Help,2,Conjuration,1 action,60 feet,V S,Instantaneous,"Summon a spectral visa agent. 50% chance they're legitimate, 50% chance they're a scam. INT check DC 15 to determine."
The Networking Trap,3,Enchantment,1 action,30 feet,V,10 minutes,"Target believes they need to know you professionally. They give you their business card and add you on LinkedIn. You will never speak again."
LinkedIn Connection Request,1,Enchantment,1 action,Unlimited,V S M (Phone),Instantaneous,"Target knows you exist. They feel vague professional obligation. No actual effect."
Overshare,2,Enchantment,1 action,30 feet,V,1 round,"Dump personal information on target. They must make WIS save or be Stunned for 1 round from emotional overload. You feel temporarily better."
Trauma Dump,4,Enchantment,1 action,30 feet,V,1 minute,"Advanced Overshare. Target takes 3d8 psychic damage and must make WIS save or be Incapacitated processing your childhood stories."
The Slow Fade,3,Illusion,1 action,Self,S,1 week,"Gradually become invisible to one person. They stop inviting you to things. Painless social exit. CHA-based."
Hard Ghost,4,Transmutation,1 action,Self,S,Permanent,"Complete disappearance from someone's life. Block on all platforms. Move hostels. They cannot find you without Divination magic."
Read Receipts Off,1,Abjuration,1 bonus action,Self,S,24 hours,"Messages you receive show no read receipt. You can ignore without guilt. +2 WIS saves vs social obligation."
Double Text Defense,2,Abjuration,1 reaction,Self,S,Instantaneous,"Prevent yourself from sending a follow-up message. +3 WIS save to maintain dignity."
Seen But Not Replied,2,Enchantment,1 action,30 feet,S,24 hours,"Target knows you saw their message. They take 1d6 psychic damage per hour wondering why you haven't responded."
The Influencer Pose,1,Illusion,1 action,Self,S,Instantaneous,"Strike the perfect pose. +3 to CHA checks on photos. Requires someone to take 47 photos first."
Ring Light Summon,1,Conjuration,1 action,Self,S M (Phone),10 minutes,"Summon perfect lighting. +2 CHA for video calls and photos. Others in range get harsh shadows."
Content Farm,5,Conjuration,1 action,Self,V S,1 hour,"Create 1d10 pieces of generic content. Each has 10% chance of going viral. INT-based creation."
Engagement Pod,3,Conjuration,1 action,120 feet,V S,24 hours,"Summon a circle of accounts that automatically like and comment on your posts. +2 to social media checks but -4 if discovered."
Collaboration Request,2,Enchantment,1 action,30 feet,V,1 minute,"Request collaboration with another influencer. They must make WIS save or agree to something that benefits you more."
Unsponsored Opinion,4,Abjuration,1 action,Self,V,1 hour,"Speak truthfully about a product. Powerful but dangerous. Lose potential sponsorship. Gain +3 CHA with authentic followers."
Algorithm Manipulation,3,Divination,1 action,Self,V S,24 hours,"Understand the algorithm. +5 to all social media checks for the duration. On natural 1, get shadowbanned."
Hotel Upgrade Charm,2,Enchantment,1 action,30 feet,V S,Instantaneous,"CHA contest with front desk. Success = free room upgrade. Failure = they remember your face (Disadvantage on future attempts)."
Haggle,1,Enchantment,1 action,30 feet,V,1 minute,"Begin price negotiation. Persuasion contest. Winner determines final price. Losers feel slightly resentful."
Aggressive Haggle,3,Enchantment,1 action,30 feet,V,10 minutes,"Extended haggling. Can reduce price by up to 70%. CON save DC 14 or both parties gain Exhaustion. Local may refuse to sell."
Walk Away (Bluff),2,Illusion,1 action,Self,S,1 minute,"Pretend to leave negotiation. 60% chance seller calls you back with better price. 40% chance they let you go."
Tourist Price Detection,1,Divination,1 action,Self,V,10 minutes,"Sense when you're being charged tourist price. Doesn't help you avoid it, just lets you know. +2 to subsequent Haggle attempts."
Perfect Small Talk,2,Enchantment,1 action,Self,V,10 minutes,"Gain ability to discuss weather, food, and travel plans without awkwardness. +2 CHA in casual social situations."
Avoid The Question,1,Abjuration,1 reaction,Self,V,Instantaneous,"Deflect a personal question back to the asker. They must answer their own question or drop the subject."
Change The Subject,2,Enchantment,1 action,30 feet,V,Instantaneous,"Force conversation to new topic. WIS save or target forgets what they were asking about."
The Irish Exit,3,Transmutation,1 action,Self,S,Instantaneous,"Teleport out of social gathering without saying goodbye. No one notices your absence for 1d10 minutes."
Bathroom Escape,1,Conjuration,1 action,Self,S,5 minutes,"Create a believable reason to leave to bathroom. Gain 5 minutes of alone time. +2 WIS recovery."
Jet Lag Resistance,2,Abjuration,1 action,Self,V S,24 hours,"Ignore effects of jet lag. No Exhaustion from time zone changes. Must sleep eventually (CON save DC 15 after 48 hours)."
Local SIM Acquisition,1,Conjuration,1 action,Touch,V S M (Passport),Instantaneous,"Obtain a working local SIM card. INT check DC 12 or get scammed on the data plan."
VPN Stability,3,Abjuration,1 action,Self,V S,8 hours,"Your VPN doesn't drop. Stable connection to home country internet. Crucial in certain locations."
ATM Fee Absorption,1,Abjuration,1 action,Touch,V,Instantaneous,"Negate one ATM foreign transaction fee. Small but meaningful victory."
Currency Conversion Intuition,2,Divination,1 action,Self,V,1 hour,"Instantly know exchange rates. Advantage on all money-related INT checks. Know exactly how much you're overpaying."
Food Safety Scan,1,Divination,1 action,Touch,V,Instantaneous,"Sense if food will give you food poisoning. DC 15 to detect. False negatives possible. Use on street food."
Stomach of Steel,3,Abjuration,1 action,Self,V S,24 hours,"Advantage on all CON saves vs food poisoning. Does not make you immune, just resilient."
Toilet Finder,1,Divination,1 action,Self,V,10 minutes,"Locate nearest toilet. Also reveals quality and whether you need to pay. Essential spell."
Air Quality Indifference,2,Abjuration,1 action,Self,V S,8 hours,"Ignore air pollution effects. No longer checking AQI every hour. Breathe freely (probably fine)."
Queue Skip Justification,3,Enchantment,1 action,30 feet,V,Instantaneous,"Convince others you have legitimate reason to skip queue. CHA contest. On fail, entire queue becomes hostile."
Mansplain Shield,2,Abjuration,1 reaction,Self,V,1 round,"Immunity to one Mansplain attack. +5 CR vs condescension-based damage."
Cultural Appropriation Blur,2,Illusion,1 action,Self,S,1 hour,"Make your cultural appropriation less obvious. -2 to checks by others to detect your ignorance. Ethically questionable."
Genuine Local Connection,5,Enchantment,1 action,30 feet,V S,Special,"Actually make a real friend from another culture. Requires genuine effort (10 hours of interaction). Extremely rare. Permanent positive effect on both parties."
